timestamp,agent.name,rule.description,rule.level,rule.id
"May 16, 2026 @ 16:45:25.672",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.612",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.552",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.490",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.430",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.370",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.343",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:25.244",ubuntu-target,Host-based anomaly detection event (rootcheck).,7,510
"May 16, 2026 @ 16:45:21.237",ubuntu-target,Wazuh agent started.,3,503
"May 16, 2026 @ 16:03:46.891",ubuntu-target,PAM: Login session closed.,3,5502
"May 16, 2026 @ 16:03:41.130",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:58:14.927",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:58:14.927",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:58:14.927",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:58:04.927",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:58:04.926",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:58:04.926",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:57:59.929",wazuh-server,Wazuh server started.,3,502
"May 16, 2026 @ 15:57:54.924",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:54:55.949",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:54:49.947",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:54:49.947",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:54:45.946",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:54:45.946",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:54:43.945",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:54:43.945",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:54:43.945",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:54:39.944",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:54:39.944",wazuh-server,PAM: Login session closed.,3,5502
"May 16, 2026 @ 15:54:39.944",wazuh-server,Successful sudo to ROOT executed.,3,5402
"May 16, 2026 @ 15:54:19.921",wazuh-server,PAM: Login session opened.,3,5501
"May 16, 2026 @ 15:54:19.921",wazuh-server,PAM: Login session closed.,3,5502
